PID,condition,case,task,trial,size,distance(cm),Angular error X,Angular error Y,Angular error Z,volume difference(cm^3),time(sec.),number of attempt,number of collision,path length(cm),total angular rotation X,total angular rotation Y,total angular rotation Z,continous delta volume error(m^3)
21,1,pick and place: 3-dim T + 1-dim R + 3-dim S,1,1,small,,,,,,156.794,5.5,12,2.595583,0,0,397.844,0.1278325
21,1,pick and place: 3-dim T + 1-dim R + 3-dim S,1,2,small,,,,,,72.55454,3.5,0,1.113289,0,0,421.6955,0.4224805
21,1,pick and place: 3-dim T + 1-dim R + 3-dim S,1,1,big,,,,,,47.88666,3.5,2,1.266684,0,0,397.662,0.2859801
21,1,pick and place: 3-dim T + 1-dim R + 3-dim S,1,2,big,,,,,,76.78075,5.5,6,4.792962,0.0983616,5039.971,384.2272,86.74139
21,1,pick and place: 3-dim T + 1-dim R + 3-dim S,2,1,small,,,,,,137.1866,9.5,3,2.460757,0,0,405.9264,9.939618
21,1,pick and place: 3-dim T + 1-dim R + 3-dim S,2,2,small,,,,,,44.51376,5,1,0.8816653,758.9729,0.0001583099,46.8007,0.7343982
21,1,pick and place: 3-dim T + 1-dim R + 3-dim S,2,1,big,,,,,,40.80462,2.5,3,0.8177942,1.366038E-05,7.05719E-05,37.89315,0.3144519
21,1,pick and place: 3-dim T + 1-dim R + 3-dim S,2,2,big,,,,,,28.1496,2.5,3,2.326504,1.197951E-05,6.67572E-05,752.3214,2.543149
21,1,pick and place: 3-dim T + 1-dim R + 3-dim S,3,1,small,,,,,,40.87088,4.5,5,4.163064,0.02369062,0.08261299,35.98658,1.284941
21,1,pick and place: 3-dim T + 1-dim R + 3-dim S,3,2,small,,,,,,85.29292,6.5,8,3.233838,2.443927E-05,0,36.77328,0.2775423
21,1,pick and place: 3-dim T + 1-dim R + 3-dim S,3,1,big,,,,,,41.43195,3.5,1,1.317202,2.102418E-05,0,405.6601,0.1405894
21,1,pick and place: 3-dim T + 1-dim R + 3-dim S,3,2,big,,,,,,42.14172,3.5,2,3.995291,6.189859E-06,0,380.7526,10.25765
21,1,docking: 1-dim T + 1-dim R,1,1,small,238.9004,3.756604E-05,179.9999,30.7379,-6193971,58.27489,,,3.167203,,,,
21,1,docking: 1-dim T + 1-dim R,1,2,small,4.512187,0.3058681,0,0,0.009536745,52.71576,,,2.856599,,,,
21,1,docking: 1-dim T + 1-dim R,1,1,big,3.322877,-1.645905,0,0,0.01907349,88.6339,,,1.051004,,,,
21,1,docking: 1-dim T + 1-dim R,1,2,big,5.450662,2.417587,0,0,0,36.31613,,,3.884316,,,,
21,1,docking: 1-dim T + 1-dim R,2,1,small,12.41176,-0.7549973,0,0,0,28.97323,,,1.294829,,,,
21,1,docking: 1-dim T + 1-dim R,2,2,small,13.60995,270.433,3.048767,180,-0.02861024,43.03946,,,1.433668,,,,
21,1,docking: 1-dim T + 1-dim R,2,1,big,6.566824,358.4702,-3.822502,3.121187,-3.469447E-10,107.0776,,,2.236421,,,,
21,1,docking: 1-dim T + 1-dim R,2,2,big,10.56176,2.45351,-1.588531,358.8295,-1.007318,88.71692,,,6.612568,,,,
21,1,docking: 1-dim T + 1-dim R,3,1,small,6.51648,359.222,1.192627,3.511403,1.208782,142.2837,,,7.755042,,,,
21,1,docking: 1-dim T + 1-dim R,3,2,small,2.88199,359.1057,-2.668367E-07,1.855133,0.06675722,41.40039,,,0.9404433,,,,
21,1,docking: 1-dim T + 1-dim R,3,1,big,1.427193,355.0955,359.9042,-0.3206329,0.02384186,51.82159,,,0.6441466,,,,
21,1,docking: 1-dim T + 1-dim R,3,2,big,14.02105,0,0,-1.976337,1.208782,53.37319,,,9.766516,,,,
21,1,docking: 2-dim T + 1-dim R,1,1,small,3.883671,0,0,-0.9973297,0.4029274,29.90617,,,2.328128,,,,
21,1,docking: 2-dim T + 1-dim R,1,2,small,10.12431,5.930618,-180,-180,0.009536744,72.20518,,,4.899344,,,,
21,1,docking: 2-dim T + 1-dim R,1,1,big,0.9858408,1.131592,0,0,0.009536744,42.88179,,,5.166697,,,,
21,1,docking: 2-dim T + 1-dim R,1,2,big,1.895046,-0.1281433,0,0,1.61171,32.7198,,,4.534726,,,,
21,1,docking: 2-dim T + 1-dim R,2,1,small,7.07474,-3.047577,0,0,0.8058548,33.64005,,,3.130177,,,,
21,1,docking: 2-dim T + 1-dim R,2,2,small,2.568174,0.1677156,-3.149277,358.0368,0.01430512,40.54293,,,1.94183,,,,
21,1,docking: 2-dim T + 1-dim R,2,1,big,4.217103,0,4.236942,0,-0.009536744,34.26014,,,1.704505,,,,
21,1,docking: 2-dim T + 1-dim R,2,2,big,7.389111,3.117651,4.08873,0.8600342,-1.61171,115.4039,,,7.06143,,,,
21,1,docking: 2-dim T + 1-dim R,3,1,small,3.13996,359.8357,-1.285965,358.9971,1.208782,87.07138,,,9.325159,,,,
21,1,docking: 2-dim T + 1-dim R,3,2,small,3.160382,357.9272,4.373775,-0.259697,0.01430512,54.76804,,,1.222561,,,,
21,1,docking: 2-dim T + 1-dim R,3,1,big,1.85301,359.2018,6.371032,1.895523,0,89.89693,,,2.523712,,,,
21,1,docking: 2-dim T + 1-dim R,3,2,big,4.498069,0,0,2.039764,0.8058548,31.18009,,,2.388814,,,,
21,1,docking: 3-dim T + 1-dim R,1,1,small,14.05242,359.9459,0.5546349,-0.4868164,-0.8058548,38.25985,,,3.086235,,,,
21,1,docking: 3-dim T + 1-dim R,1,2,small,2.962902,7.250031,0,0,-0.009536744,61.34628,,,4.456045,,,,
21,1,docking: 3-dim T + 1-dim R,1,1,big,14.54901,0.5644054,0,0,0.04768373,32.59995,,,2.531607,,,,
21,1,docking: 3-dim T + 1-dim R,1,2,big,16.94471,4.429947,0,0,0.4029274,51.29953,,,4.590258,,,,
21,1,docking: 3-dim T + 1-dim R,2,1,small,8.48936,-4.66979,0,0,0,26.43943,,,4.453961,,,,
21,1,docking: 3-dim T + 1-dim R,2,2,small,4.930041,0.9681816,-15.4198,0.1209356,0.009536743,55.23372,,,1.791135,,,,
21,1,docking: 3-dim T + 1-dim R,2,1,big,3.303022,0,-16.96899,0,0.009536743,44.50218,,,2.677071,,,,
21,1,docking: 3-dim T + 1-dim R,2,2,big,18.92205,0,1.606567,0,-0.4029274,193.7982,,,14.08482,,,,
21,1,docking: 3-dim T + 1-dim R,3,1,small,9.259114,0,6.769119,0,0.8058549,94.34416,,,3.026551,,,,
21,1,docking: 3-dim T + 1-dim R,3,2,small,8.750471,352.8837,1.124964,2.964767,0.01430512,162.0205,,,6.384987,,,,
21,1,docking: 3-dim T + 1-dim R,3,1,big,2.83481,0,0,5.835419,0,981.6,,,1.762883,,,,
21,1,docking: 3-dim T + 1-dim R,3,2,big,2.648838,0,0,-1.139099,-0.4029274,43.38986,,,3.345774,,,,
21,1,docking: 3-dim T + 1-dim S,1,1,small,4.766938,1.335301,355.2246,-0.02626038,1.61171,59.74545,,,2.362681,,,,
21,1,docking: 3-dim T + 1-dim S,1,2,small,5.279663,0.5123753,0.6697317,0.005989395,-30123.22,108.2121,,,1.946699,,,,
21,1,docking: 3-dim T + 1-dim S,1,1,big,6.483747,0,0,0,-6309.652,44.67111,,,6.030828,,,,
21,1,docking: 3-dim T + 1-dim S,1,2,big,5.11804,0,0,0,-244562.4,17.91311,,,3.337872,,,,
21,1,docking: 3-dim T + 1-dim S,2,1,small,7.958178,0,0,0,-475818.3,100.9991,,,17.39618,,,,
21,1,docking: 3-dim T + 1-dim S,2,2,small,2.142215,0,0,0,-9104.693,58.30843,,,3.785364,,,,
21,1,docking: 3-dim T + 1-dim S,2,1,big,1.121046,0,0,0,-3737.319,65.17446,,,2.45773,,,,
21,1,docking: 3-dim T + 1-dim S,2,2,big,15.44619,0,0,0,157285.7,61.23827,,,3.286566,,,,
21,1,docking: 3-dim T + 1-dim S,3,1,small,7.686445,0,0,0,-270908.2,38.94583,,,2.651168,,,,
21,1,docking: 3-dim T + 1-dim S,3,2,small,15.87248,0,0,0,-61668.96,25.28948,,,2.529746,,,,
21,1,docking: 3-dim T + 1-dim S,3,1,big,11.45358,0,0,0,-45233.46,20.4082,,,1.46231,,,,
21,1,docking: 3-dim T + 1-dim S,3,2,big,63.14078,0,0,0,-2356694,14.73108,,,3.211834,,,,
21,1,docking: 3-dim T + 2-dim S,1,1,small,8.934919,0,0,0,-182649.8,33.92073,,,6.075415,,,,
21,1,docking: 3-dim T + 2-dim S,1,2,small,1.621638,0,0,0,-38980.95,107.7389,,,3.671304,,,,
21,1,docking: 3-dim T + 2-dim S,1,1,big,18.54746,0,0,0,-11350.11,65.56477,,,2.642195,,,,
21,1,docking: 3-dim T + 2-dim S,1,2,big,10.05518,0,0,0,-606236.8,158.1073,,,20.02584,,,,
21,1,docking: 3-dim T + 2-dim S,2,1,small,44.15415,0,0,0,1739325,328.5274,,,13.98675,,,,
21,1,docking: 3-dim T + 2-dim S,2,2,small,6.759878,0,0,0,11300.56,96.48287,,,4.454398,,,,
21,1,docking: 3-dim T + 2-dim S,2,1,big,3.293467,0,0,0,-15319.68,237.5348,,,3.270754,,,,
21,1,docking: 3-dim T + 2-dim S,2,2,big,6.221253,0,0,0,-285788.4,30.97238,,,3.50284,,,,
21,1,docking: 3-dim T + 2-dim S,3,1,small,2.917378,0,0,0,-470654.2,33.41281,,,6.860928,,,,
21,1,docking: 3-dim T + 2-dim S,3,2,small,7.637224,0,0,0,17292.67,23.1657,,,4.348804,,,,
21,1,docking: 3-dim T + 2-dim S,3,1,big,1.99106,0,0,0,-14686.59,44.52978,,,1.518184,,,,
21,1,docking: 3-dim T + 2-dim S,3,2,big,36.80783,0,0,0,109004.7,46.42027,,,6.745678,,,,
21,1,docking: 3-dim T + 3-dim S,1,1,small,16.06735,0,0,0,10573.7,36.25016,,,6.578292,,,,
21,1,docking: 3-dim T + 3-dim S,1,2,small,3.049559,0,0,0,-4712.223,48.14725,,,4.403481,,,,
21,1,docking: 3-dim T + 3-dim S,1,1,big,3.218484,0,0,0,-41249.11,42.02681,,,3.446484,,,,
21,1,docking: 3-dim T + 3-dim S,1,2,big,21.75872,0,0,0,258867.2,104.456,,,31.04312,,,,
