PID,condition,case,task,trial,size,distance(cm),Angular error X,Angular error Y,Angular error Z,volume difference(cm^3),time(sec.),number of attempt,number of collision,path length(cm),total angular rotation X,total angular rotation Y,total angular rotation Z,continous delta volume error(m^3)
74,1,pick and place: 3-dim T + 1-dim R + 3-dim S,1,1,small,,,,,,66.27154,7.5,1,2.082934,0,0,376.1753,0.8220801
74,1,pick and place: 3-dim T + 1-dim R + 3-dim S,1,2,small,,,,,,42.91925,4.5,1,1.177243,0,0,394.6289,0.3280403
74,1,pick and place: 3-dim T + 1-dim R + 3-dim S,1,1,big,,,,,,30.77312,3,1,1.254095,0,0,753.8018,0.5641693
74,1,pick and place: 3-dim T + 1-dim R + 3-dim S,1,2,big,,,,,,97.74516,10.5,7,6.072405,0,0,51.05759,6.813425
74,1,pick and place: 3-dim T + 1-dim R + 3-dim S,2,1,small,,,,,,47.79283,5.5,2,1.959626,0,0,377.437,2.327242
74,1,pick and place: 3-dim T + 1-dim R + 3-dim S,2,2,small,,,,,,27.63468,3,2,0.9909561,2.636027E-05,0.5277061,390.7613,0.04265121
74,1,pick and place: 3-dim T + 1-dim R + 3-dim S,2,1,big,,,,,,45.08307,4.5,3,1.840125,1.671862E-05,0.0001411438,30.77159,0.05586198
74,1,pick and place: 3-dim T + 1-dim R + 3-dim S,2,2,big,,,,,,27.18601,3.5,2,2.355244,5.602889E-06,4.959106E-05,376.6931,1.72241
74,1,pick and place: 3-dim T + 1-dim R + 3-dim S,3,1,small,,,,,,31.18636,3.5,1,2.61446,1.878303E-05,0.000164032,384.3279,1.553799
74,1,pick and place: 3-dim T + 1-dim R + 3-dim S,3,2,small,,,,,,37.39235,4.5,2,1.457215,5.246709E-05,0.0007019043,46.41084,0.04671606
74,1,pick and place: 3-dim T + 1-dim R + 3-dim S,3,1,big,,,,,,37.38538,5,1,1.259241,6.12049E-05,0.000213623,57.05367,0.216982
74,1,pick and place: 3-dim T + 1-dim R + 3-dim S,3,2,big,,,,,,47.59118,6.5,5,6.488701,2.204471E-05,0.0003051758,391.5686,3.451867

