PID,condition,case,task,trial,size,distance(cm),Angular error X,Angular error Y,Angular error Z,volume difference(cm^3),time(sec.),number of attempt,number of collision,path length(cm),total angular rotation X,total angular rotation Y,total angular rotation Z,continous delta volume error(m^3)
74,1,docking: 1-dim T + 1-dim R,1,1,small,1.783001,2.087463,0,0,0.01907349,17.83288,,,1.699045,,,,
74,1,docking: 1-dim T + 1-dim R,1,2,small,0.6989371,-1.214565,0,0,0.03814698,14.3336,,,0.05254843,,,,
74,1,docking: 1-dim T + 1-dim R,1,1,big,1.6752,-2.941101,0,0,0.009536744,18.58077,,,1.73349,,,,
74,1,docking: 1-dim T + 1-dim R,1,2,big,2.826619,0.08911896,0,0,0,24.30996,,,2.164962,,,,
74,1,docking: 1-dim T + 1-dim R,2,1,small,2.487398,-1.062622,0.4404511,359.7021,0.2014637,13.16097,,,1.626061,,,,
74,1,docking: 1-dim T + 1-dim R,2,2,small,5.457435,7.940692,-2.689682,0.7725744,0.004768373,19.13293,,,0.5142721,,,,
74,1,docking: 1-dim T + 1-dim R,2,1,big,20.9463,0,-5.077881,0,0.02861024,31.93248,,,1.686562,,,,
74,1,docking: 1-dim T + 1-dim R,2,2,big,2.14256,0,-0.7269592,0,-0.4029275,19.78852,,,0.6768112,,,,
74,1,docking: 1-dim T + 1-dim R,3,1,small,1.217055,0,1.645538,0,0,13.61599,,,0.28997,,,,
74,1,docking: 1-dim T + 1-dim R,3,2,small,12.94628,347.5519,358.7422,-2.578087,0.004768371,67.46237,,,1.422632,,,,
74,1,docking: 1-dim T + 1-dim R,3,1,big,14.02334,359.2129,5.076593,3.371735,-0.03814697,56.2591,,,3.221319,,,,
74,1,docking: 1-dim T + 1-dim R,3,2,big,4.259062,0,0,0.09889221,0.4029275,21.04146,,,3.367503,,,,
74,1,docking: 2-dim T + 1-dim R,1,1,small,2.803502,0,0,0.2488708,0.4029274,18.07875,,,1.102009,,,,
74,1,docking: 2-dim T + 1-dim R,1,2,small,9.344641,5.665917,0,0,-0.009536747,19.31132,,,1.531425,,,,
74,1,docking: 2-dim T + 1-dim R,1,1,big,2.441573,-1.866039,0,0,0.02861023,18.97794,,,1.860209,,,,
74,1,docking: 2-dim T + 1-dim R,1,2,big,5.790784,-1.202972,0,0,-0.4029274,22.03056,,,3.445351,,,,
74,1,docking: 2-dim T + 1-dim R,2,1,small,6.428964,-2.294739,0,0,0.4029274,19.32665,,,3.825533,,,,
74,1,docking: 2-dim T + 1-dim R,2,2,small,10.00926,0,-3.108063,0,0.07629397,21.98373,,,1.239827,,,,
74,1,docking: 2-dim T + 1-dim R,2,1,big,26.67373,0,-1.9576,0,0.009536744,14.3099,,,0.5834132,,,,
74,1,docking: 2-dim T + 1-dim R,2,2,big,11.21427,0,4.915222,0,-1.61171,16.91759,,,3.196917,,,,
74,1,docking: 2-dim T + 1-dim R,3,1,small,8.410515,0,-0.4186554,0,-0.8058548,19.07224,,,2.01045,,,,
74,1,docking: 2-dim T + 1-dim R,3,2,small,24.61355,357.0567,355.0243,3.240784,0.01430512,23.13388,,,1.472026,,,,
74,1,docking: 2-dim T + 1-dim R,3,1,big,1.470204,0,0,-0.486557,0.009536744,13.29645,,,0.7517074,,,,
74,1,docking: 2-dim T + 1-dim R,3,2,big,7.179544,0,0,3.402847,-0.4029275,20.11834,,,4.274391,,,,
74,1,docking: 3-dim T + 1-dim R,1,1,small,2.130191,0,0,1.319931,2.014638,15.65076,,,3.025023,,,,
74,1,docking: 3-dim T + 1-dim R,1,2,small,3.609545,-2.968536,0,0,0.02861023,27.66723,,,3.467562,,,,
74,1,docking: 3-dim T + 1-dim R,1,1,big,30.7313,-0.6550884,0,0,0.01907349,20.97315,,,2.373841,,,,
74,1,docking: 3-dim T + 1-dim R,1,2,big,6.922432,6.043537,0,0,0,14.08951,,,2.133797,,,,
74,1,docking: 3-dim T + 1-dim R,2,1,small,7.054859,1.958305,0,0,-0.4029273,18.66176,,,1.817834,,,,
74,1,docking: 3-dim T + 1-dim R,2,2,small,3.412223,359.2099,3.627563,359.7351,-0.0333786,27.16916,,,2.709411,,,,
74,1,docking: 3-dim T + 1-dim R,2,1,big,3.13408,0,3.059036,0,0.03814698,20.11189,,,1.507336,,,,
74,1,docking: 3-dim T + 1-dim R,2,2,big,3.839513,0,-1.184483,0,0,15.4236,,,2.008454,,,,
74,1,docking: 3-dim T + 1-dim R,3,1,small,9.581018,0,-2.980598,0,0,12.29661,,,2.267842,,,,
74,1,docking: 3-dim T + 1-dim R,3,2,small,7.247848,0,0,1.643864,0.009536743,14.64487,,,1.829344,,,,
74,1,docking: 3-dim T + 1-dim R,3,1,big,7.495048,0,0,-4.465637,-0.009536743,13.83721,,,2.354876,,,,
74,1,docking: 3-dim T + 1-dim R,3,2,big,7.497746,4.268868E-07,358.0528,-2.318962,-0.4029274,30.04558,,,6.468584,,,,

